instruction index,instruction,issued,started executing,finished executing,write back,committed
0,ADDI,1,2,4,5,6
1,ADDI,1,2,4,5,6
2,ADDI,2,5,7,8,9
3,Load,2,5,8,9,10
4,JAL,3,4,5,6,10
5,STORE,3,8,-842150451,-842150451,-842150451
6,ADDI,5,6,8,9,-842150451
7,BEQ,5,6,7,8,-842150451
8,Load,6,7,-842150451,-842150451,-842150451
9,MUL,6,7,-842150451,-842150451,-842150451
10,Load,9,-842150451,-842150451,-842150451,-842150451
11,STORE,-842150451,-842150451,-842150451,-842150451,-842150451
12,ADDI,-842150451,-842150451,-842150451,-842150451,-842150451
13,ADDI,10,11,13,14,15
total execution time,15,cycles
IPC,0.933333
branch miss,0
