instruction index,instruction,issued,started executing,finished executing,write back,committed
0,ADDI,1,2,4,5,6
1,ADDI,1,2,4,5,6
2,ADDI,2,5,7,8,9
3,Load,2,5,8,9,10
4,ADDI,5,6,8,9,10
5,Load,5,6,9,10,11
6,MUL,6,7,17,18,19
7,Load,9,10,13,14,19
8,ADDI,9,10,12,13,20
9,ADDI,10,11,13,14,20
total execution time,20,cycles
IPC,0.5
branch miss,0
