instruction index,instruction,issued,started executing,finished executing,write back,committed
0,ADDI,1,2,4,5,6
1,ADDI,1,2,4,5,6
2,ADDI,2,5,7,8,9
3,JMP,2,3,4,6,9
4,ADDI,5,6,8,-842150451,-842150451
5,SUB,5,-842150451,-842150451,-842150451,-842150451
6,MUL,9,10,20,21,22
7,JAL,10,11,12,13,22
8,NAND,10,21,-842150451,-842150451,-842150451
9,ADDI,22,23,25,26,27
10,ADDI,23,24,26,27,28
11,ADDI,23,24,26,27,28
total execution time,28,cycles
IPC,0.428571
branch miss,0
