instruction index,instruction,issued,started executing,finished executing,write back,committed
0,ADDI,1,2,4,5,6
1,ADDI,1,2,4,5,6
2,ADDI,2,5,7,8,9
3,Load,2,5,8,9,10
4,STORE,3,8,11,12,13
5,ADDI,5,6,8,9,13
6,Load,5,6,9,10,14
7,MUL,6,7,17,18,19
8,Load,9,10,13,14,19
9,STORE,9,13,16,17,20
10,ADDI,10,14,16,17,20
11,ADDI,10,11,13,14,21
total execution time,21,cycles
IPC,0.571429
branch miss,0
